pais;operadora;Landing page
bangladesh;BANGLALINK;http://funbox.zed.com/bangladesh/sendotp?config=1&carrier=47003&idProduct=7
bangladesh;BANGLALINK; https://funbox.zed.com/Bangladesh/SendOTP?config=6&carrier=47003&idProduct=7
bangladesh;BANGLALINK;http://funbox.zed.com/bangladesh/sendotp?config=2&carrier=47003&idProduct=7
bangladesh;BANGLALINK;http://footballers.zed.com/bgd/bgl/SendOTP?idProduct=1
bangladesh;GRAMEEPHONE;http://funbox.zed.com/gphone/confirm?config=1&carrier=47001&idProduct=7
bangladesh;GRAMEEPHONE;https://funbox.zed.com/Gphone/confirm?config=5&carrier=47001&idProduct=7
bangladesh;GRAMEEPHONE;http://funbox.zed.com/gphone/confirm?config=2&carrier=47001&idProduct=7
bangladesh;GRAMEEPHONE;http://footballers.zed.com/bgd/gp/confirm?idproduct=1
bangladesh;GRAMEEPHONE;https://supergameroll.zed.com/bgd/Gp/Confirm?idProduct=22&id=1
bangladesh;GRAMEEPHONE;https://sportlocker.zed.com/bgd/gp/confirm?idProduct=27
bangladesh;GRAMEEPHONE;http://funbox.zed.com/robi/confirm?config=1&carrier=47002&idProduct=7
bangladesh;GRAMEEPHONE;https://funbox.zed.com/Robi/confirm?config=3&carrier=47003&idProduct=7
bangladesh;GRAMEEPHONE;http://funbox.zed.com/robi/confirm?config=2&carrier=47002&idProduct=7
bangladesh;ROBI;http://funbox.zed.com/robi/confirm?config=1&carrier=47002&idProduct=7
bangladesh;ROBI;https://funbox.zed.com/Robi/confirm?config=3&carrier=47003&idProduct=7
bangladesh;ROBI;http://funbox.zed.com/robi/confirm?config=2&carrier=47002&idProduct=7
uae;Etisalat;https://e-komics.zed.com/ae/signup/?id=3
uae;Etisalat;https://hooperslives.zed.com/etisalat3/subscribe?config=1
uae;Etisalat;https://funbox.zed.com/are/subscribe?config=1
uae;Etisalat;https://hooperslives.zed.com/AE/subscribe/?config=1
Polonia;Plus;https://funbox.zed.com/pol/subscribe/?id=1
Polonia;Plus;https://funbox.zed.com/pol/subscribe/?id=2
Polonia;Plus;https://funbox.zed.com/pol/subscribe/?id=3
Polonia;Plus;https://funbox.zed.com/pol/subscribe/?id=4
Polonia;Orange;https://funbox.zed.com/pol/subscribe/?id=1
Polonia;Orange;https://funbox.zed.com/pol/subscribe/?id=2
Polonia;Orange;https://funbox.zed.com/pol/subscribe/?id=3
Polonia;Orange;https://funbox.zed.com/pol/subscribe/?id=4
Polonia;T-mobile;https://funbox.zed.com/pol/subscribe/?id=1
Polonia;T-mobile;https://funbox.zed.com/pol/subscribe/?id=2
Polonia;T-mobile;https://funbox.zed.com/pol/subscribe/?id=3
Polonia;T-mobile;https://funbox.zed.com/pol/subscribe/?id=4
Polonia;Play;https://funbox.zed.com/pol/subscribe/?id=1
Polonia;Play;https://funbox.zed.com/pol/subscribe/?id=2
Polonia;Play;https://funbox.zed.com/pol/subscribe/?id=3
Polonia;Play;https://funbox.zed.com/pol/subscribe/?id=4
Polonia;Netia;https://funbox.zed.com/pol/subscribe/?id=1
Polonia;Netia;https://funbox.zed.com/pol/subscribe/?id=2
Polonia;Netia;https://funbox.zed.com/pol/subscribe/?id=3
Polonia;Netia;https://funbox.zed.com/pol/subscribe/?id=4
Sudafrica;Vodacom;https://e-komics.zed.com/za/vodacom/?id=1
Kasajistan;Zain;https://e-komics.zed.com/sa/subscribe/?id=4
Kasajistan;STC;https://e-komics.zed.com/sa/subscribe/?id=4
Kasajistan;Mobily;https://e-komics.zed.com/sa/subscribe/?id=4
Kasajistan;Mobily;https://e-komics.zed.com/sa/subscribe/?id=2&product=6
Kasajistan;STC;https://e-komics.zed.com/sa/subscribe/?id=1
Kasajistan;Zain;https://e-komics.zed.com/sa/subscribe/?id=3
España;Movistar;https://e-komics.zed.com/movistar/subscribe/?id=1&utm_source=GoogleWebMovil-&utm_medium=Display&utm_campaign=eKomics-1&utm_content=BannerEstatico&tefcampaign=a5b10a8
España;Movistar;https://e-komics.zed.com/movistar/subscribe/?id=2&utm_source=GoogleWebMovil-&utm_medium=Display&utm_campaign=eKomics-2&utm_content=BannerEstatico&tefcampaign=7ef18bf
España;Movistar;https://e-komics.zed.com/movistar/subscribe/?id=3&utm_source=GoogleWebMovil-&utm_medium=Display&utm_campaign=eKomics-3&utm_content=BannerEstatico&tefcampaign=55aedee
España;Movistar;https://e-komics.zed.com/movistar/subscribe/?id=4&utm_source=GoogleWebMovil-&utm_medium=Display&utm_campaign=eKomics-4&utm_content=BannerEstatico&tefcampaign=7bd72df
España;Movistar;https://e-komics.zed.com/movistar/subscribe/?id=1&utm_source=smadex-&utm_medium=Display&utm_campaign=eKomics-1&utm_content=BannerEstatico&tefcampaign=9abb7c2
España;Movistar;https://e-komics.zed.com/movistar/subscribe/?id=2&utm_source=smadex-&utm_medium=Display&utm_campaign=eKomics-2&utm_content=BannerEstatico&tefcampaign=a7c2269
España;Movistar;https://e-komics.zed.com/movistar/subscribe?id=5
España;Movistar;https://e-komics.zed.com/movistar/subscribe?id=6
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=1
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=5
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=10
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=6
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=3
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=12
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=13
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=14
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=15
España;Orange;https://fitlifebyzed.com/orange/subscribe/?id=16
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=13
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=4
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=1
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=5
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=7
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=16
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=17
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=18
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=19
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=20
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=21
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=22
España;Orange;https://e-komics.zed.com/orange/subscribe/?id=23
